HRV Stress Base Stilte Muziek TempoMuziek
113.80160314357957 0 0 1 0 0
129.83638860072335 0 0 1 0 0
72.73530779477049 0 0 1 0 0
141.41523359483915 0 0 1 0 0
110.13469026605559 0 0 1 0 0
62.55777329796833 0 0 1 0 0
34.05143168796284 0 0 1 0 0
32.18974195577664 0 0 1 0 0
38.737255968898985 0 0 1 0 0
33.55778598179564 0 0 1 0 0
26.67035230940327 0 0 1 0 0
31.368375794739517 0 0 1 0 0
31.457908385650818 0 0 1 0 0
37.060933886139736 0 0 1 0 0
26.141135674621605 0 0 1 0 0
25.628509765893778 0 0 1 0 0
27.657206160991368 0 0 1 0 0
44.050961164169614 0 0 1 0 0
56.447842955767356 0 0 1 0 0
45.04584559233187 0 0 1 0 0
38.272379074209645 0 0 1 0 0
27.576002201840236 0 0 1 0 0
27.953980038627773 0 0 1 0 0
21.94139922612047 0 0 1 0 0
22.51495229670889 0 0 1 0 0
24.93735741556821 0 0 1 0 0
27.37723179053756 0 0 1 0 0
41.06498914322678 0 0 1 0 0
34.9358386261561 0 0 1 0 0
23.582370642668753 0 0 1 0 0
24.351064842720103 0 0 1 0 0
